comment_text,toxic
"""
 
 I'm sure if you worked on articles other than Arcayne you'd do fine. You two seem to have a problem with each other, so why do you seek him out and edit where he does? â€“xenotalk """,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January 11, 2016 (UTC)",0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",0
"""
 More
 I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of """"types of accidents"""" -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.
 
 There appears to be a backlog on articles for review so I guess there may be a delay until a reviewer turns up. It's listed in the relevant form eg Wikipedia:Good_article_nominations#Transport """,0
REDIRECT Talk:Voydan Pop Georgiev- Chernodrinski,0
The Mitsurugi point made no sense - why not argue to include Hindi on Ryo Sakazaki's page to include more information?,0
"Don't mean to bother you 
 
 I see that you're writing something regarding removing anything posted here and if you do oh well but if not and you can acctually discuss this with me then even better.
 
 I'd like to ask you to take a closer look at the Premature wrestling deaths catagory and the men listed in it, surely these men belong together in some catagory. Is there anything that you think we can do with the catagory besides delting it?",0
"""
 
  Regarding your recent edits 
 
 Once again, please read WP:FILMPLOT before editing any more film articles. Your edits are simply not good, with entirely too many unnecessary details and very bad writing. Please stop before you do further damage. -''''''The '45 """,0
"""
 Good to know. About me, yeah, I'm studying now.(Deepu) """,0
"""
 
  Snowflakes are NOT always symmetrical! 
 
 Under Geometry it is stated that """"A snowflake always has six symmetric arms."""" This assertion is simply not true! According to Kenneth Libbrecht, """"The rather unattractive irregular crystals are by far the most common variety."""" http://www.its.caltech.edu/~atomic/snowcrystals/myths/myths.htm#perfection Someone really need to take a look at his site and get FACTS off of it because I still see a decent number of falsities on this page. (forgive me Im new at this and dont want to edit anything)""",0
"""
 
  The Signpost: 24 September 2012 
 
  Read this Signpost in full
  Single-page
  Unsubscribe
  
 """,0
"""
 
 Re-considering 1st paragraph edit?
 I don't understand the reasons for 's recent edit of this article not that I'm sure that the data are necessarily """"wrong."""" Rather, I'm persuaded that the strategy of introducing academic honors in the first paragraph is an unhelpful approach to this specific subject. I note that articles about other sitting Justices have been similarly """"enhanced;"""" and I also believe those changes are no improvement. 
 
 In support of my view that this edit should be reverted, I would invite anyone to re-visit articles written about the following pairs of jurists.
  A1. Benjamin Cardozo
  A2. Learned Hand
 
  B1. John Marshall Harlan
  B2. John Marshall Harlan II
 
 The question becomes: Would the current version of the Wikipedia article about any one of them or either pair be improved by academic credentials in the introductory paragraph? I think not.
 
 Perhaps it helps to repeat a wry argument Kathleen Sullivan of Stanford Law makes when she suggests that some on the Harvard Law faculty wonder how Antonin Scalia avoided learning what others have managed to grasp about the processes of judging? I would hope this anecdote gently illustrates the point. 
 
 Less humorous, but an even stronger argument is the one Clarence Thomas makes when he mentions wanting to return his law degree to Yale.
 
 At a minimum, I'm questioning this edit? It deserves to be reconsidered. """,0
"Bye! 
 
 Don't look, come or think of comming back! Tosser.",1
